,level_0,index,Wholesale,Retail,Supply Volume,latitude,longitude,Markup %,Month,Wholesale_log,Retail_log,Supply_Volume_log,Markup_log,Commodity_Beans Red Haricot (Wairimu),Commodity_Cabbages,Commodity_Cow Milk(Processd),Commodity_Cowpea leaves (Kunde),Commodity_Cowpeas,Commodity_Dry Maize,Commodity_Dry Onions,Commodity_Finger Millet,Commodity_Kales/Sukuma Wiki,Commodity_Maize Flour,Commodity_Meat Beef,Commodity_Omena,Commodity_Red Irish potato,Commodity_Red Sorghum,Commodity_Rice,Commodity_Spinach,Commodity_Wheat,"Category_meat, fish and eggs",Category_milk and dairy,Category_pulses and nuts,Category_vegetables and fruits
level_0,1.0,0.9988373519139677,0.01196151209671352,0.014356047688291483,-0.0886378360400438,0.037773251238850926,-0.02594232927646978,0.002155014267105891,0.00010411926492316476,0.15369810032114598,0.15764641497018853,-0.1524710157217912,-0.031087914630920258,0.14344147640654348,-0.521185918076029,0.09536741472728234,-0.2461019904209215,-0.23256190937488072,-0.1269353819746566,-0.2676605980335028,-0.014464017317385005,0.088882325065738,0.009367664201109282,-0.26588539783292253,0.10333103177785691,0.20690091267638452,0.1212418207292047,0.23367955212034944,0.3475468879852677,0.18366101837714652,-0.08175544688242274,0.09536741472728234,0.2651969075521962,-0.374341165008385
index,0.9988373519139677,1.0,0.020696577264182073,0.02386848193536813,-0.09390400745480292,0.0336120535750095,-0.02256904674610232,0.0055427434900042274,-0.00022818800283407173,0.1585061032883172,0.164474754371361,-0.15906540049442866,-0.02717108206441827,0.15148797431523814,-0.5245571100969275,0.1016609931849278,-0.23466360985773022,-0.22990361368038054,-0.1466882440604548,-0.2708722450513794,-0.031175174309128417,0.09853968151532962,0.014575536148026801,-0.2579414148211436,0.11284175225647493,0.2104192142805751,0.12449156388182282,0.2475661696426164,0.3508841107422906,0.1797332809859775,-0.06917526935374473,0.1016609931849278,0.25909240813625345,-0.366542192536233
Wholesale,0.01196151209671352,0.020696577264182073,1.0,0.9369505809963016,-0.10952873133979517,-0.011010986508258923,-0.06253011038750123,-0.16518712061433263,-0.0002465132198844926,0.8390690544062736,0.8106000379783098,-0.12829514658913901,-0.2537285356620802,0.006014871190982272,-0.2200727080146998,0.03692818315146597,-0.09944836862363698,0.062319895382564494,-0.1320552525765105,-0.02070384887444828,0.056317807527469184,-0.19346565492173567,-0.0003433983210976689,0.5948559722881139,0.4371920023218138,-0.11702095478753322,-0.047374679359719604,0.06121967282931182,-0.1328754076812553,-0.01169104005592169,0.7207428138938051,0.03692818315146597,0.16632458483516274,-0.3760452219814969
Retail,0.014356047688291483,0.02386848193536813,0.9369505809963016,1.0,-0.11754998745186017,-0.019865424053470013,-0.06296059234318062,0.06939075381552871,0.0013734924659858775,0.7847889097364793,0.8501714743889882,-0.13528850497648676,-0.009028378743097497,-0.0016252577521538084,-0.21446740863917868,0.022952526913943713,-0.08940325763322053,0.05596105498653343,-0.15011836544343254,-0.010567382784438206,0.04394873216776985,-0.16680319202767863,-0.018598624564748083,0.5679931792982328,0.4702180864336423,-0.11340468114129275,-0.048762359917732555,0.04794442756727308,-0.11587177502707174,-0.012142320615517791,0.7306580876043709,0.022952526913943713,0.14778874142503937,-0.33751885941951026
Supply Volume,-0.0886378360400438,-0.09390400745480292,-0.10952873133979517,-0.11754998745186017,1.0,0.038369800084109396,-0.03625352670772036,-0.026781504717461265,-0.0009576070780326334,-0.12190639471838656,-0.14463942922446818,0.651993587061613,-0.03225684384387833,-0.03885172447090794,0.12075861920532407,-0.015150476051547316,-0.08278580315476243,-0.0703965856219021,0.17671009551800992,0.017743986687423847,-0.07281776751831519,-0.06428801557715642,0.049391050832020195,-0.046072710022429714,-0.0474559291538381,0.12817044221935897,-0.033957350609256344,-0.00998842228522643,-0.09355192748214528,-0.026257170518168303,-0.06676237092720262,-0.015150476051547316,-0.10689738283235592,-0.03007193313326179
latitude,0.037773251238850926,0.0336120535750095,-0.011010986508258923,-0.019865424053470013,0.038369800084109396,1.0,-0.6452503026887187,-0.024377679081231392,-0.0006489216990769901,-0.009813733434318453,-0.026254706312379403,0.04844574699303913,-0.04006335081261947,0.03566842531210365,-0.04057027902031499,0.048473029458831626,-0.0337665346539382,0.0034749133302696116,0.05546114294978343,-0.04279636830730322,0.06117093180637327,-0.059056478574392605,0.006319067025363509,0.015933831279712058,-0.013740406159152379,0.02362217478355073,0.033064749707733196,0.04657265086389212,-0.061527163704049787,0.0007337896700825671,-0.0011744720458524845,0.048473029458831626,0.021066386832307698,-0.13302632592906163
longitude,-0.02594232927646978,-0.02256904674610232,-0.06253011038750123,-0.06296059234318062,-0.03625352670772036,-0.6452503026887187,1.0,-0.003191892560261885,-0.008003071277333327,-0.044061160799056615,-0.03792168489840204,-0.07891056485052865,0.03529794019596857,-0.028738590517303063,0.04084258114325778,-0.05903956010883854,0.006438034270555952,0.03518225903538198,-0.046838858134069995,0.051973818314973136,-0.05656689506141501,0.06342036587838845,0.01703074099848491,-0.06757335574035334,-0.07037749050941675,-0.018223070311438178,-0.04703420395393948,-0.03932145472427422,0.09076496913797281,0.02085324453449368,-0.09854218276858692,-0.05903956010883854,0.003507105229901525,0.14550111579004918
Markup %,0.002155014267105891,0.0055427434900042274,-0.16518712061433263,0.06939075381552871,-0.026781504717461265,-0.024377679081231392,-0.003191892560261885,1.0,0.009373994919094164,-0.27417781090254334,0.04583316337648974,-0.034224214558378034,0.7989136837380159,-0.03266224659965424,0.030312258675396175,-0.04024179213937212,0.04004506193132616,-0.03917829221992278,-0.08241895925088556,-0.007654615598228638,-0.04454829675441671,0.17405994510969394,-0.04935196194766469,-0.022089885760829275,0.016843718111753628,0.0013630490395550637,-0.01560362182995943,-0.04065247849559267,0.08022151785321288,-0.017012359819240316,-0.00014636991494652654,-0.04024179213937212,-0.07291712978615177,0.1745529465784312
Month,0.00010411926492316476,-0.00022818800283407173,-0.0002465132198844926,0.0013734924659858775,-0.0009576070780326334,-0.0006489216990769901,-0.008003071277333327,0.009373994919094164,1.0,-0.017983966692529604,-0.014122758605660639,-0.010151718543360999,0.014508360853997208,-0.008650713922839016,-0.0010183636242214013,0.0050688814923538945,0.002730328909788347,-6.124031667487249e-05,-0.001067489876434014,0.0031698884815077317,-0.001147148395127959,-0.0055333589268792074,0.0018563776860853899,-0.00034648740738304324,0.0011792305751127253,0.0021558210538432697,0.021240206416385687,-0.01649368068493285,0.0017676086765801562,0.0002654541689138368,0.0007340244948298882,0.0050688814923538945,-0.0010046350307037538,7.208354858809214e-05
Wholesale_log,0.15369810032114598,0.1585061032883172,0.8390690544062736,0.7847889097364793,-0.12190639471838656,-0.009813733434318453,-0.044061160799056615,-0.27417781090254334,-0.017983966692529604,1.0,0.9333103905104474,-0.12400726959473253,-0.386944134505122,0.06738476235599616,-0.3824179340805359,0.09300208395464685,-0.13017790924124548,0.1500865410027207,-0.09862179347584646,0.07452825387125801,0.15564433289205748,-0.31212440889247306,0.05111367509016424,0.37517942296857515,0.33177011752140007,-0.12131400702604687,-0.03394961139009751,0.1511057324944107,-0.17747015529329913,0.027191920742351657,0.499664361938791,0.09300208395464685,0.3249803345445966,-0.5244934840425809
Retail_log,0.15764641497018853,0.164474754371361,0.8106000379783098,0.8501714743889882,-0.14463942922446818,-0.026254706312379403,-0.03792168489840204,0.04583316337648974,-0.014122758605660639,0.9333103905104474,1.0,-0.15268628988474678,-0.03860045004164233,0.05551112864794989,-0.38268210875079756,0.07620991496174488,-0.11062667622060468,0.14068061930896952,-0.1540211809539697,0.08270498590912212,0.13977366282810255,-0.24602550425032496,0.022884464866210652,0.38401176646134777,0.35431409796131147,-0.12757948719714368,-0.0429267754844585,0.13639226183097328,-0.1421764904746838,0.021743865286769956,0.5232833020602418,0.07620991496174488,0.3062510109281265,-0.4544822903943814
Supply_Volume_log,-0.1524710157217912,-0.15906540049442866,-0.12829514658913901,-0.13528850497648676,0.651993587061613,0.04844574699303913,-0.07891056485052865,-0.034224214558378034,-0.010151718543360999,-0.12400726959473253,-0.15268628988474678,1.0,-0.04933514754160553,-0.05277951780765858,0.2035532555599886,-0.04753930524924926,-0.19041799668644274,-0.099307162298629,0.215780828529298,0.09558420082489019,-0.10627592512790766,-0.0765368048997687,0.06522809500962523,-0.05415559385637036,-0.06435062298653493,0.16094344348343662,-0.052531754685241475,0.023615803628971407,-0.19029306183956915,-0.047199541682241865,-0.08537053807142281,-0.04753930524924926,-0.1368999891846711,-0.02670521494145758
Markup_log,-0.031087914630920258,-0.02717108206441827,-0.2537285356620802,-0.009028378743097497,-0.03225684384387833,-0.04006335081261947,0.03529794019596857,0.7989136837380159,0.014508360853997208,-0.386944134505122,-0.03860045004164233,-0.04933514754160553,1.0,-0.04203968987025088,0.09071146463730112,-0.06279872741283644,0.08202147526535765,-0.05242036162550396,-0.12171460083467127,0.006243134557402489,-0.07322373608368243,0.2315279817206178,-0.08831899307649599,-0.05446118351328719,-0.028359937904215687,0.00245057234328501,-0.0145352882087814,-0.07249934444038349,0.13074414870685083,-0.01765318418811478,-0.056598567517363835,-0.06279872741283644,-0.11204445790773022,0.29859188503998163
Commodity_Beans Red Haricot (Wairimu),0.14344147640654348,0.15148797431523814,0.006014871190982272,-0.0016252577521538084,-0.03885172447090794,0.03566842531210365,-0.028738590517303063,-0.03266224659965424,-0.008650713922839016,0.06738476235599616,0.05551112864794989,-0.05277951780765858,-0.04203968987025088,1.0,-0.05612294968718517,-0.02096399567344735,-0.032477619257070676,-0.035345699574067115,-0.05613194857634246,-0.055967594115135966,-0.037643209699538695,-0.051106570268823655,-0.022748761555343958,-0.024557976870690418,-0.03242771704124277,-0.045477642818645615,-0.01941892792063935,-0.03371800420554314,-0.04218431563579027,-0.019960092678530206,-0.041325555432111506,-0.02096399567344735,0.37702329043033767,-0.1363638153739697
Commodity_Cabbages,-0.521185918076029,-0.5245571100969275,-0.2200727080146998,-0.21446740863917868,0.12075861920532407,-0.04057027902031499,0.04084258114325778,0.030312258675396175,-0.0010183636242214013,-0.3824179340805359,-0.38268210875079756,0.2035532555599886,0.09071146463730112,-0.05612294968718517,1.0,-0.04765485645309631,-0.07382735179628909,-0.08034700377090452,-0.12759781071889167,-0.1272242040646891,-0.08556964915564216,-0.1161742402509178,-0.05171194381538192,-0.05582460904804851,-0.07371391526592284,-0.10337869622295641,-0.04414264517836774,-0.07664696536572665,-0.0958923831847766,-0.0453728080374323,-0.09394026991056975,-0.04765485645309631,-0.1488580443483419,0.41156775742268475
Commodity_Cow Milk(Processd),0.09536741472728234,0.1016609931849278,0.03692818315146597,0.022952526913943713,-0.015150476051547316,0.048473029458831626,-0.05903956010883854,-0.04024179213937212,0.0050688814923538945,0.09300208395464685,0.07620991496174488,-0.04753930524924926,-0.06279872741283644,-0.02096399567344735,-0.04765485645309631,1.0,-0.027577244109042998,-0.03001257504868624,-0.04766249754768397,-0.04752294165672842,-0.03196342609702447,-0.04339537183202281,-0.019316321976113614,-0.020852554419862536,-0.027534871372942492,-0.03861576329170403,-0.0164889092196541,-0.028630473972904424,-0.03581934872282665,-0.016948420506904344,-0.03509016227656812,1.0,-0.055603980458378964,-0.11578860489857187
Commodity_Cowpea leaves (Kunde),-0.2461019904209215,-0.23466360985773022,-0.09944836862363698,-0.08940325763322053,-0.08278580315476243,-0.0337665346539382,0.006438034270555952,0.04004506193132616,0.002730328909788347,-0.13017790924124548,-0.11062667622060468,-0.19041799668644274,0.08202147526535765,-0.032477619257070676,-0.07382735179628909,-0.027577244109042998,1.0,-0.04649576352396495,-0.0738391894520674,-0.07362298815313892,-0.04951804031533945,-0.0672285181616281,-0.0299250276694782,-0.03230497341887074,-0.04265728168790054,-0.0598239036608362,-0.02554477323622099,-0.04435459953948027,-0.05549167191106421,-0.026256652443913283,-0.054362009411102585,-0.027577244109042998,-0.0861422094640773,0.23816889523043278
Commodity_Cowpeas,-0.23256190937488072,-0.22990361368038054,0.062319895382564494,0.05596105498653343,-0.0703965856219021,0.0034749133302696116,0.03518225903538198,-0.03917829221992278,-6.124031667487249e-05,0.1500865410027207,0.14068061930896952,-0.099307162298629,-0.05242036162550396,-0.035345699574067115,-0.08034700377090452,-0.03001257504868624,-0.04649576352396495,1.0,-0.08035988680384414,-0.08012459288951357,-0.053890950645828856,-0.0731654308450159,-0.03256769005668139,-0.03515780747900551,-0.04642432227702932,-0.0651069189953221,-0.027800617814538273,-0.048271529314946486,-0.06039211029300896,-0.028575362675304736,-0.059162687931974454,-0.03001257504868624,0.539755873610952,-0.19522181298740082
Commodity_Dry Maize,-0.1269353819746566,-0.1466882440604548,-0.1320552525765105,-0.15011836544343254,0.17671009551800992,0.05546114294978343,-0.046838858134069995,-0.08241895925088556,-0.001067489876434014,-0.09862179347584646,-0.1540211809539697,0.215780828529298,-0.12171460083467127,-0.05613194857634246,-0.12759781071889167,-0.04766249754768397,-0.0738391894520674,-0.08035988680384414,1.0,-0.12724460350101824,-0.08558336959918242,-0.11619286790905428,-0.0517202354328657,-0.05583356010088597,-0.07372573473308348,-0.10339527221301324,-0.04414972311655342,-0.07665925512481037,-0.09590775880064183,-0.045380083222825114,-0.09395533251991606,-0.04766249754768397,-0.14888191260657269,-0.3100286852344755
Commodity_Dry Onions,-0.2676605980335028,-0.2708722450513794,-0.02070384887444828,-0.010567382784438206,0.017743986687423847,-0.04279636830730322,0.051973818314973136,-0.007654615598228638,0.0031698884815077317,0.07452825387125801,0.08270498590912212,0.09558420082489019,0.006243134557402489,-0.055967594115135966,-0.1272242040646891,-0.04752294165672842,-0.07362298815313892,-0.08012459288951357,-0.12724460350101824,1.0,-0.0853327813169168,-0.11585265495163699,-0.05156879847718849,-0.055670079321174626,-0.07350986562944035,-0.10309253064245065,-0.044020452636165254,-0.07643479666788994,-0.09562694068510232,-0.04524721024556674,-0.09368023111298715,-0.04752294165672842,-0.14844598605918433,0.4104284847235588
Commodity_Finger Millet,-0.014464017317385005,-0.031175174309128417,0.056317807527469184,0.04394873216776985,-0.07281776751831519,0.06117093180637327,-0.05656689506141501,-0.04454829675441671,-0.001147148395127959,0.15564433289205748,0.13977366282810255,-0.10627592512790766,-0.07322373608368243,-0.037643209699538695,-0.08556964915564216,-0.03196342609702447,-0.04951804031533945,-0.053890950645828856,-0.08558336959918242,-0.0853327813169168,1.0,-0.07792126593179777,-0.034684626447048,-0.03744310440755744,-0.04944195530710086,-0.06933894177137817,-0.029607689161034467,-0.051409232874720885,-0.06431766521410912,-0.030432793306971868,-0.06300832902035824,-0.03196342609702447,-0.09984319445267449,-0.20791144984575513
Commodity_Kales/Sukuma Wiki,0.088882325065738,0.09853968151532962,-0.19346565492173567,-0.16680319202767863,-0.06428801557715642,-0.059056478574392605,0.06342036587838845,0.17405994510969394,-0.0055333589268792074,-0.31212440889247306,-0.24602550425032496,-0.0765368048997687,0.2315279817206178,-0.051106570268823655,-0.1161742402509178,-0.04339537183202281,-0.0672285181616281,-0.0731654308450159,-0.11619286790905428,-0.11585265495163699,-0.07792126593179777,1.0,-0.04708982876113495,-0.05083489590154181,-0.06712522081155257,-0.09413850541166635,-0.040197088895624185,-0.0697961091350693,-0.08732133372887496,-0.041317297383454535,-0.08554370417124076,-0.04339537183202281,-0.13555282012065228,0.3747810233127655
Commodity_Maize Flour,0.009367664201109282,0.014575536148026801,-0.0003433983210976689,-0.018598624564748083,0.049391050832020195,0.006319067025363509,0.01703074099848491,-0.04935196194766469,0.0018563776860853899,0.05111367509016424,0.022884464866210652,0.06522809500962523,-0.08831899307649599,-0.022748761555343958,-0.05171194381538192,-0.019316321976113614,-0.0299250276694782,-0.03256769005668139,-0.0517202354328657,-0.05156879847718849,-0.034684626447048,-0.04708982876113495,1.0,-0.022627832771339007,-0.029879047538309705,-0.04190330913467559,-0.017892689446648926,-0.031067924062477242,-0.038868822330246876,-0.018391321142095223,-0.038077556731441094,-0.019316321976113614,-0.06033781501782418,-0.12564624629263507
Commodity_Meat Beef,-0.26588539783292253,-0.2579414148211436,0.5948559722881139,0.5679931792982328,-0.046072710022429714,0.015933831279712058,-0.06757335574035334,-0.022089885760829275,-0.00034648740738304324,0.37517942296857515,0.38401176646134777,-0.05415559385637036,-0.05446118351328719,-0.024557976870690418,-0.05582460904804851,-0.020852554419862536,-0.03230497341887074,-0.03515780747900551,-0.05583356010088597,-0.055670079321174626,-0.03744310440755744,-0.05083489590154181,-0.022627832771339007,1.0,-0.03225533647539034,-0.045235890931138945,-0.01931570000051671,-0.03353876467904966,-0.04196007054949685,-0.019853988013004694,0.5942564259299759,-0.020852554419862536,-0.06513649817936999,-0.13563892710459421
Commodity_Omena,0.10333103177785691,0.11284175225647493,0.4371920023218138,0.4702180864336423,-0.0474559291538381,-0.013740406159152379,-0.07037749050941675,0.016843718111753628,0.0011792305751127253,0.33177011752140007,0.35431409796131147,-0.06435062298653493,-0.028359937904215687,-0.03242771704124277,-0.07371391526592284,-0.027534871372942492,-0.04265728168790054,-0.04642432227702932,-0.07372573473308348,-0.07350986562944035,-0.04944195530710086,-0.06712522081155257,-0.029879047538309705,-0.03225533647539034,1.0,-0.059731983581113604,-0.025505523413814873,-0.044286448214209614,-0.05540640835280049,-0.026216308811379856,0.7846892002320659,-0.027534871372942492,-0.08600985102103993,-0.17910517511786955
Commodity_Red Irish potato,0.20690091267638452,0.2104192142805751,-0.11702095478753322,-0.11340468114129275,0.12817044221935897,0.02362217478355073,-0.018223070311438178,0.0013630490395550637,0.0021558210538432697,-0.12131400702604687,-0.12757948719714368,0.16094344348343662,0.00245057234328501,-0.045477642818645615,-0.10337869622295641,-0.03861576329170403,-0.0598239036608362,-0.0651069189953221,-0.10339527221301324,-0.10309253064245065,-0.06933894177137817,-0.09413850541166635,-0.04190330913467559,-0.045235890931138945,-0.059731983581113604,1.0,-0.03576974235463356,-0.06210869766212723,-0.07770367694157523,-0.036766569987939354,-0.07612183723607743,-0.03861576329170403,-0.12062290042303897,-0.2511826895062445
Commodity_Red Sorghum,0.1212418207292047,0.12449156388182282,-0.047374679359719604,-0.048762359917732555,-0.033957350609256344,0.033064749707733196,-0.04703420395393948,-0.01560362182995943,0.021240206416385687,-0.03394961139009751,-0.0429267754844585,-0.052531754685241475,-0.0145352882087814,-0.01941892792063935,-0.04414264517836774,-0.0164889092196541,-0.02554477323622099,-0.027800617814538273,-0.04414972311655342,-0.044020452636165254,-0.029607689161034467,-0.040197088895624185,-0.017892689446648926,-0.01931570000051671,-0.025505523413814873,-0.03576974235463356,1.0,-0.02652037899047187,-0.03317942637691263,-0.015699304718413555,-0.03250398171166262,-0.0164889092196541,-0.05150591067859165,-0.10725486722947844
Commodity_Rice,0.23367955212034944,0.2475661696426164,0.06121967282931182,0.04794442756727308,-0.00998842228522643,0.04657265086389212,-0.03932145472427422,-0.04065247849559267,-0.01649368068493285,0.1511057324944107,0.13639226183097328,0.023615803628971407,-0.07249934444038349,-0.03371800420554314,-0.07664696536572665,-0.028630473972904424,-0.04435459953948027,-0.048271529314946486,-0.07665925512481037,-0.07643479666788994,-0.051409232874720885,-0.0697961091350693,-0.031067924062477242,-0.03353876467904966,-0.044286448214209614,-0.06210869766212723,-0.02652037899047187,1.0,-0.05761100935577348,-0.027259446282702954,-0.05643820279534793,-0.028630473972904424,-0.08943215196903409,-0.1862317054318142
Commodity_Spinach,0.3475468879852677,0.3508841107422906,-0.1328754076812553,-0.11587177502707174,-0.09355192748214528,-0.061527163704049787,0.09076496913797281,0.08022151785321288,0.0017676086765801562,-0.17747015529329913,-0.1421764904746838,-0.19029306183956915,0.13074414870685083,-0.04218431563579027,-0.0958923831847766,-0.03581934872282665,-0.05549167191106421,-0.06039211029300896,-0.09590775880064183,-0.09562694068510232,-0.06431766521410912,-0.08732133372887496,-0.038868822330246876,-0.04196007054949685,-0.05540640835280049,-0.07770367694157523,-0.03317942637691263,-0.05761100935577348,1.0,-0.034104067341413705,-0.07060936780595543,-0.03581934872282665,-0.11188782419170001,0.30935124189634244
Commodity_Wheat,0.18366101837714652,0.1797332809859775,-0.01169104005592169,-0.012142320615517791,-0.026257170518168303,0.0007337896700825671,0.02085324453449368,-0.017012359819240316,0.0002654541689138368,0.027191920742351657,0.021743865286769956,-0.047199541682241865,-0.01765318418811478,-0.019960092678530206,-0.0453728080374323,-0.016948420506904344,-0.026256652443913283,-0.028575362675304736,-0.045380083222825114,-0.04524721024556674,-0.030432793306971868,-0.041317297383454535,-0.018391321142095223,-0.019853988013004694,-0.026216308811379856,-0.036766569987939354,-0.015699304718413555,-0.027259446282702954,-0.034104067341413705,1.0,-0.03340979945125928,-0.016948420506904344,-0.05294127229051269,-0.1102438352349867
"Category_meat, fish and eggs",-0.08175544688242274,-0.06917526935374473,0.7207428138938051,0.7306580876043709,-0.06676237092720262,-0.0011744720458524845,-0.09854218276858692,-0.00014636991494652654,0.0007340244948298882,0.499664361938791,0.5232833020602418,-0.08537053807142281,-0.056598567517363835,-0.041325555432111506,-0.09394026991056975,-0.03509016227656812,-0.054362009411102585,-0.059162687931974454,-0.09395533251991606,-0.09368023111298715,-0.06300832902035824,-0.08554370417124076,-0.038077556731441094,0.5942564259299759,0.7846892002320659,-0.07612183723607743,-0.03250398171166262,-0.05643820279534793,-0.07060936780595543,-0.03340979945125928,1.0,-0.03509016227656812,-0.10961008638218803,-0.22824982816676753
Category_milk and dairy,0.09536741472728234,0.1016609931849278,0.03692818315146597,0.022952526913943713,-0.015150476051547316,0.048473029458831626,-0.05903956010883854,-0.04024179213937212,0.0050688814923538945,0.09300208395464685,0.07620991496174488,-0.04753930524924926,-0.06279872741283644,-0.02096399567344735,-0.04765485645309631,1.0,-0.027577244109042998,-0.03001257504868624,-0.04766249754768397,-0.04752294165672842,-0.03196342609702447,-0.04339537183202281,-0.019316321976113614,-0.020852554419862536,-0.027534871372942492,-0.03861576329170403,-0.0164889092196541,-0.028630473972904424,-0.03581934872282665,-0.016948420506904344,-0.03509016227656812,1.0,-0.055603980458378964,-0.11578860489857187
Category_pulses and nuts,0.2651969075521962,0.25909240813625345,0.16632458483516274,0.14778874142503937,-0.10689738283235592,0.021066386832307698,0.003507105229901525,-0.07291712978615177,-0.0010046350307037538,0.3249803345445966,0.3062510109281265,-0.1368999891846711,-0.11204445790773022,0.37702329043033767,-0.1488580443483419,-0.055603980458378964,-0.0861422094640773,0.539755873610952,-0.14888191260657269,-0.14844598605918433,-0.09984319445267449,-0.13555282012065228,-0.06033781501782418,-0.06513649817936999,-0.08600985102103993,-0.12062290042303897,-0.05150591067859165,-0.08943215196903409,-0.11188782419170001,-0.05294127229051269,-0.10961008638218803,-0.055603980458378964,1.0,-0.36168538876960715
Category_vegetables and fruits,-0.374341165008385,-0.366542192536233,-0.3760452219814969,-0.33751885941951026,-0.03007193313326179,-0.13302632592906163,0.14550111579004918,0.1745529465784312,7.208354858809214e-05,-0.5244934840425809,-0.4544822903943814,-0.02670521494145758,0.29859188503998163,-0.1363638153739697,0.41156775742268475,-0.11578860489857187,0.23816889523043278,-0.19522181298740082,-0.3100286852344755,0.4104284847235588,-0.20791144984575513,0.3747810233127655,-0.12564624629263507,-0.13563892710459421,-0.17910517511786955,-0.2511826895062445,-0.10725486722947844,-0.1862317054318142,0.30935124189634244,-0.1102438352349867,-0.22824982816676753,-0.11578860489857187,-0.36168538876960715,1.0
