1,Directorate of Public Communications,H.E President @WilliamsRuto has promised to lower the price of a 2kg packet of maize flour from the current Ksh180 to Ksh120 @kilimoKE @Trade_Kenya https://t.co/sZcqLtrbTc,Tue Jan 24 14:26:57 +0000 2023,114,1246
2,KUTV Kenya,"President Ruto on the price of maize flour
^sw https://t.co/6lQdz6PEbc",Sun Nov 26 10:29:07 +0000 2023,4,11
3,Hot 96 FM Kenya,The price of maize flour will drop starting next week – President William Ruto https://t.co/5UjYWpJYo6,Fri Apr 14 12:55:20 +0000 2023,1,6
4,Taddewo W. Senyonyi,"THREAD: Maize prices fall to record low!
A kilogram of maize is averaging Shs500, down from an average of Shs1000 last season.  Govt isn't bothered about the situation as farmers count losses. I'm told price is higher in Kenya, but the politics is doing us bad! https://t.co/017zDK2Qhi",Wed Feb 07 11:58:59 +0000 2024,8,30
5,Mike The Dj Kenya,"#JamboKenya Agriculture Cabinet Secretary Mithika Linturi now says Kenyans should expect the arrival of cheaper maize in the country by the first week of April, expressing confidence that soon the price of unga will start to drop https://t.co/SfSi2Kwvsw",Fri Mar 17 02:55:42 +0000 2023,1,4
6,Citizen TV Kenya,"Maize farmers reject govt prices

Farmers reject price of Ksh 3,500 per 90kg bag of maize
Melly: Government should buy a bag of maize at Ksh 5,500

Khatundi: We are projecting maize production to increase by 50%

#CitizenWeekend 
@OBurrows https://t.co/YhCmSnuoLN",Sat Nov 09 18:09:27 +0000 2024,11,31
7,Citizen TV Kenya,"Sack of maize at Ksh.3,500:  

Govt to purchase 1 million bags of maize at Ksh.3,500  

Karanja: We want to stabilize the price of maize flour  

#CitizenWeekend @Wycliffeorandi https://t.co/9PT5Zy98lA",Sat Nov 02 10:05:36 +0000 2024,6,44
8,Miss Smith❤️,"The cost of living in Kenya has seen a notable reduction under President Ruto’s administration. The price of a 2Kg packet of maize flour, which was Sh230, has now dropped to Sh100.Kenya You AskedFor 
#ThePresidentListened https://t.co/ek8uQaKUuU",Mon Jul 01 10:30:40 +0000 2024,2,0
9,Citizen TV Kenya,"Price Control Bill to grant Treasury CS powers to set prices of maize, sugar, other essential goods https://t.co/OMpuufnMya",Wed Aug 14 15:05:17 +0000 2024,33,85
10,𝗞𝗜𝗣𝗥𝗢𝗧𝗜𝗖𝗛 𝗦𝗡𝗥,"President William Ruto's leadership has transformed Kenya's economy by reducing the price of 2kg maize flour from Ksh 260 to Ksh 100-120. This significant change has eased the burden on Kenyan households.

#RutoTheOvercomer 
Impact You Can Feel https://t.co/RYvcEMdkKL",Mon Jan 20 05:35:29 +0000 2025,3,1
11,Wilson Baya,This is the only way of reducing the price of maize floor in Kenya  . https://t.co/D7zp6OMvrz,Tue May 30 00:46:57 +0000 2023,0,0
12,MnaiBei,"Unlike Tanzania, the price of a packet of maize flour is reduced by more than 75@ in kenya. We managed our Cost Of Living. Kenya Vs Tanzania https://t.co/BCrxLGnEvR",Tue Dec 10 11:25:51 +0000 2024,3,0
13,Citizen TV Kenya,"Prof Edward Kisiangani: While some people in Nairobi were doing maandamano in the streets, many of my people in Bungoma, Kakamega, Busia and many of our kinsmen in Rift Valley were doing maandamano on the farms. The result of it right now is that the price of maize has come down https://t.co/Y8L2IijPPn",Mon Sep 18 20:01:55 +0000 2023,11,48
14,Citizen TV Kenya,"Maize farmers’ anxiety:

Farmers want price of 90 kg bag to be capped at Ksh.6000. Farmers fear they will suffer losses with low prices.

Farmers say production costs shot up despite subsidy #SundayLive @KoinangeJeff https://t.co/sTUorCQeou",Sun Aug 06 18:34:46 +0000 2023,10,64
15,Kinara•,"Thanks to the effective implementation of the Subsidised Fertiliser Programme, the price of maize has significantly dropped which is directly contributing to a lower cost of living, making life more affordable for many in Kenya. #RutoMchapakazi
The Plan Is Working Visible Results https://t.co/FxuPdTuU1h",Thu Jan 09 14:50:21 +0000 2025,3,1
16,NTV Kenya,"Safeguarding Maize Farmers

Govt to announce floor price &amp; reopen NCPB this week

Govt to open new window for duty free importation of yellow maize

Govt expecting 100 dryers to help address post-harvest losses

#NTVTonight @theninashaban https://t.co/pBsbnrJ7LW",Wed Oct 04 18:51:07 +0000 2023,0,11
17,TUKO.co.ke | The Heartbeat of Kenya,"How much is the price of a 2 kg packet of maize flour at your nearest supermarket or food store? 

#tukonews #Kenya #Unga https://t.co/hQzwxdIEDB",Wed Nov 15 10:11:13 +0000 2023,0,19
18,Citizen TV Kenya,"Gachagua Pledge On Economy:

DP assures that the country’s economy will get stable 

DP says the price of maize flour has already reduced

Gachagua attended a church service in Karatina 

#SundayLive  @YvonneOkwara https://t.co/V0R00LscBe",Sun Dec 24 18:39:37 +0000 2023,4,16
19,Ruud in Kenya,"#Kenya #maize #prices.
Judging the content of the creator, it looks that @WilliamsRuto fears criticism because it is @rigathi who's announcing another price tag. https://t.co/bJAV3go7X2",Wed Apr 19 13:29:23 +0000 2023,0,0
20,Willy Abuga,"What kind of money do you need to own land and farm like this in kenya 😳

Do these kind of farmers even worry about fake fertilizer or price of a kg of maize 🧐 https://t.co/5Wb64AEfX8",Wed May 08 06:26:48 +0000 2024,334,1394
21,Citizen TV Kenya,The price of maize flour will drop starting next week – President William Ruto https://t.co/jQ98WVIU3j,Fri Apr 14 12:54:35 +0000 2023,344,3209
22,La General.,"The Kenya Kwanza government under President's Ruto leadership has reduced the price of a 2kg packet of maize flour from Ksh 260 to as low as Ksh 100. A game-changing decision that has brought relief to millions, ensuring affordable food.

#RutoTheOvercomer
Impact You Can Feel https://t.co/f83LLFPPDB",Mon Jan 20 07:20:36 +0000 2025,2,1
23,FootballClips,"Affordable Unga for All: The price of a 2kg packet of maize flour has dropped from Ksh 260 to just Ksh 100-120. A monumental relief for households across Kenya, ensuring food security for every family.
#RutoTheOvercomer
Impact You Can Feel https://t.co/qOkabxqbSA",Mon Jan 20 05:05:32 +0000 2025,3,2
24,Fostina Mani,"We have removed the guess work of where to sell the maize?  https://t.co/ZHz0Z6L4Vt
#bagofmaize #baiyaunga #maize #demand #ethiopia #kenya #malawi  #price #priceperbag #shortage #somalia #southafrica #sudan #supply #tanzania #ugali #uganda #unga #whereisthemaize #zambia https://t.co/qgOS26wYuB",Fri May 12 07:22:46 +0000 2023,1,1
25,Citizen TV Kenya,"Raila: We had warned that trying to ease the supply shortage of maize and lower its cost through duty-free imports would not work, and the prices would not come down; negotiations have failed as expected 

The price of ‘unga’ has not come down. Instead, they're set to rise again https://t.co/ljGDuR7isC",Tue May 16 13:29:27 +0000 2023,30,86
26,Kenya Projects,"H.E President @WilliamsRuto has promised to lower the price of a 2kg packet of maize flour from the current Ksh180 to Ksh120. #KenyaYaendelea 

CS Machogu Cardiac Kwamboxx &amp; Reedah Fresh Fri Kibochi #Azziad Ruto #Thievesinschool KCSE 2022 https://t.co/eGd6D0esdf",Wed Jan 25 08:05:10 +0000 2023,1,16
27,The Standard Digital,President Ruto claims a 2kg packet of maize flour is selling for Sh145 to Sh175 down from Sh250; attributes reduction in price to enhanced maize production https://t.co/Za2FfFRL7N,Thu Nov 09 12:38:25 +0000 2023,12,177
28,Toria_Vicky,"The fertiliser subsidy program has been of great benefit because it has led  to an inceeas in maize production in Kenya reducing the import of maize hence a 23.3% drop in the price of 2kg flour making it more affordable 
#RutoDelivers 
The Plan https://t.co/hb6TttjN2L",Sat Sep 14 09:01:37 +0000 2024,6,3
29,Dr.Dennis Adison Ouma.,"-The price of Unga(Maize flour) has really reduced in Kenya ,trading at a price of 139/=,as captured in Supermarkets in Nairobi this week.

-But negativity bias media houses in kenya,and negativity bias Kenyans will not report or talk on this positive step towards stabilizing https://t.co/Z9cQDpMyNJ",Sat Nov 25 12:51:21 +0000 2023,12,42
30,MAJIMAJI,"Cost of living 1 year after kwa #Brekko
Moses Kuria - The price of 1 liter of cooking fat is 230; how much is it in your nearest shop?

Nakhumicha - Those using packed maize floor are fewer than those who use grinded maize. Which one do you use, Gorogoro or packed maize flour? https://t.co/mDbQTsEgjT",Thu Sep 14 05:18:06 +0000 2023,3,11
31,Julians Amboko,"Kenya has inked an MOU with Zambia for maize imports. Agric CS says large-scale farmers in Zambia will grow &amp; export to Kenya at a price to be agreed upon...Kenyan farmers be ware! 

Swali, is this part of the 900,000MT duty free import window running Feb 1st - Aug 6th, '23? https://t.co/kLV1KJOOaf",Mon Mar 06 14:30:12 +0000 2023,32,71
32,TUKO.co.ke | The Heartbeat of Kenya,"""From next week, you will start seeing the price of unga going down,"" President William Ruto assures Kenyans, says maize imports ordered by the government will arrive in the country tomorrow.

#tukonews #Kenya #politics https://t.co/WO3L8jMkKy",Fri Apr 14 13:11:35 +0000 2023,1,3
33,SEATINI UGANDA,"Ms. Jane Nalunga, @seatiniU:
Kenya today has mobilized their farmers and even the small-scale farmer can earn, unlike Uganda where our farmers are unsure of the price and who is going to buy their maize. No business should be run like that.
#SEATINIOnBudget24 #MorningAtNTV https://t.co/bFsQHtSTwj",Thu Jan 18 06:20:53 +0000 2024,1,2
34,Lolwe Tv Kenya,"Price of Unga will go down from next week, President William Ruto says. Speaking in Machakos county, Dr Ruto said imported maize will arrive in Kenya tomorrow. Unga retails from a range of Kshs.150 to Kshs.250 in supermarkets and retail shops. https://t.co/tJ58Xrdk87",Fri Apr 14 13:26:07 +0000 2023,0,1
35,Classic 105 Kenya,"“Price changes in food, energy and transport. Prices of maize flour loose, maize flour-sifted, sugar and fortified maize flour dropped by 9.6. 5.8, 5.3 and 5.1 per cent, respectively between February 2024 and March 2024."" KNBS says. https://t.co/PJNwEpKGbP",Tue Apr 16 06:12:50 +0000 2024,1,8
36,Joseph Masta,"The Kenya Kwanza administration's bold steps in the agriculture sector are bearing fruits. President Ruto's decision to subsidise the price of fertiliser led to a large increase in production especially in maize leading to a huge drop of 65% in maize imports,the lowest rate ever https://t.co/ICr9c0Mdj2",Thu Jan 09 16:04:52 +0000 2025,1,4
37,Kibet Benard,"Price Reassurance*
President William Ruto has reassured Kenyans that the cost of a 2kg bag of maize flour will not exceed KSh 230, alleviating concerns of soaring prices.
#RutoEmpowers 
Kenya Kwanza delivers 
.#KenyaniSisi https://t.co/mY2SDbi1sa",Sun Oct 22 15:02:58 +0000 2023,0,1
38,DJ KROWBAR,"Kenya is still importing maize based on GoK Data from Ministry of Agriculture.

PS: Granted, the importation has reduced by 56% but the price dropped marginally from KES 24.7 billion to KES 23.2 billion (6.4% reduction).

Kasongo yeye.... (Tunakuone 18) 
@MwauraIsaac1 @M_Chidzuga https://t.co/IvH5OIXS2u",Tue Dec 17 06:48:10 +0000 2024,4,5
39,Dr.Dennis Adison Ouma.,"-As I tweeted earlier, the price of Unga(Maize flour)has really reduced in Kenya.

-Reference;Moi Avenue Naivas supermaket ,on 25/11/2023(Today),Nairobi

-Pembe(149/=), Dola(149/=), Mama Maize(155/=).

-But the negativity bias kenya Media houses and negativity bias kenyans will https://t.co/zrsb5BCDmn",Sat Nov 25 15:01:36 +0000 2023,20,54
40,Dictator Watch,"After scamming the country of shs 1.6 Billions; he now plans to scam local maize farmers. The going price for 90kg sack starts from 6,000 shillings. Were Kenya a decent country he'd have long resigned &amp; in handcuffs https://t.co/O5B3ZHPc6f",Wed Nov 22 13:01:39 +0000 2023,7,11
41,Citizen TV Kenya,"@SamGituku: Fact check on the price of a gorogoro in Eldoret, Vihiga, Nairobi vs the price of a 90kg bag of maize

#NewsGang https://t.co/01jz2TpPhB",Thu Nov 09 20:36:43 +0000 2023,1,12
42,Linet Ida,"By securing 95 million bags of maize, Kenya shields families from hunger and price shocks. The path to sustainable food systems is clear.#ResultsYouCanFeel
Ruto Delivers https://t.co/PIWFXu0tNP",Fri Jan 17 07:07:06 +0000 2025,0,0
43,PAPA FATHELA,"The cost of living has been reduced significantly under President Ruto, with the price of a 2kg packet of maize flour dropping from 230/- to 100/-.Kenya You AskedFor 
#ThePresidentListened https://t.co/uNEbmxfVxf",Mon Jul 01 10:03:40 +0000 2024,1,0
44,Nicholas Gitobu Kiogora,"As a result of increased maize production in the last 28 months Visible Results show that maize price which is Kenya's Staple Food has fallen significantly gone down.This is largely attributed to Subsidized Fertilizer Program,an indication of 
The Plan Is Working,#RutoMchapakazi https://t.co/SG0DYh0whs",Thu Jan 09 14:07:22 +0000 2025,5,3
45,Toria_Vicky,"This is not another country, this is Kenya.
Yes the price of 2kg maize flour is ksh.99.
This is as a result of increased subsidies to farmers and reduced cost of fertilizer 
#KaziInafanyika
Vitu Kwa Ground
Ruto Delivers https://t.co/Enq607juue",Fri Nov 15 12:17:56 +0000 2024,1,0
46,Ⓝⓖ'ⓞⓡⓞⓡⓘⓔⓣ🐐🇰🇪,"So Kenya Seed Company has decided that Maize seeds price be increased by 42%.

This is pure oppression and exploitations of farmers. 
@SeroneiCheison @ArapTilingi @sabul_ian @Itskipchumba_b @bkkoskey @ChepkendiotMK https://t.co/XCsyAGfSsE",Sat Jul 20 05:25:46 +0000 2024,3,6
47,Consumers Federation of Kenya (COFEK),HAS THE price of unga (maize flour meal) reduced in your local supermarket and or shop? Please share your experience on how much the 2kg packet is retailing for #CofekCares https://t.co/vneHMRXIxw,Mon Apr 17 16:04:32 +0000 2023,1,2
48,VOA Africa,"NAIROBI - Kenya's President William Ruto announced on Friday that he would slash the price of maize flour, a key food staple, as anger over skyrocketing inflation fuels protests in the East African nation. https://t.co/zEmKIs13Dt",Fri Apr 14 15:26:10 +0000 2023,1,4
49,TUKO.co.ke | The Heartbeat of Kenya,"Agriculture CS Mithika Linturi promises that the price of unga will go below KSh 120 in the next 4-6 months. 

He said apart from the government subsidising production, they have also allowed the importation of duty-free maize. 

#tukonews #Kenya https://t.co/EZGIPM4Pyj",Thu Mar 16 10:07:07 +0000 2023,0,5
50,Wild🌹,"With 95 million bags of maize and other food stocks, Kenya is safeguarding its people from hunger and price shocks, ensuring a stable future for every household. 
#ResultsYouCanFeel
Ruto Delivers https://t.co/yggkub2MYE",Fri Jan 17 06:42:37 +0000 2025,5,2
51,Nyandarua's Finest,"Guys, you can pass by @KICC_kenya Kenya for #ChangamkaFest2023 and get to buy a wide variety of Products at a discounted price.

Some of the Products available 

1. Dr Mattress
2. Jamaa bar soap
3. Rice, maize flour, wheat flour, and all cereals.
4. Quality pants https://t.co/svGPyMhCMP",Wed Nov 01 09:46:12 +0000 2023,0,0
52,Kenyan Business,"Price of a 25 kg bag of maize flour.

Zambia - $10 (KShs 1,341)

DR Congo - $44 (KShs 5,902)

Kenya - $18.64 (KShs 2,500)",Sat Apr 22 10:49:20 +0000 2023,7,21
53,Julians Amboko,"Rwanda has waived Value Added Tax on maize flour &amp; rice &amp; gone ahead to prescribe price ceilings. Kenya went the route of waiving import duty on maize &amp; rice (until August 6th, 2023). Will be interesting to compare outcomes. https://t.co/jbQEHbWzVS",Thu Apr 20 20:41:20 +0000 2023,32,50
54,MwanzoTV,"The government of #Kenya has announced plans to purchase 1 million bags of locally produced maize, at an improved price of Ksh.4,000 per 90-kilogram bag, following a bumper harvest by farmers. https://t.co/56cIRenFI9",Fri Oct 13 08:00:00 +0000 2023,0,2
55,WISH FM KENYA,"KENYA:Maize #millers
Price of Unga to go Up,Again
This follows a warning by various millers in the country.“Some small scale millers have shut down, because they cannot afford to buy maize”United Grain Millers association.
Wewe
Safaricom
Raila
CITAM
DJ Fatxo
Kalenjins
Southafrica https://t.co/JJrD7kE8In",Sun Mar 12 05:12:41 +0000 2023,0,0
56,WISH FM KENYA,"KENYA
Unga Prices to Drop from Next Week, President Ruto pledges
President William Ruto Friday promised a reduction in the price of maize flour starting next week after the arrival of imported maize.
#NikujaribuTu
Samidoh
Winnie Odinga
Rooney
Malindi
Central Kenya https://t.co/KqMgF2TbWs",Fri Apr 14 22:58:02 +0000 2023,0,0
57,Dorine Igaga,"In the past year to July 2023, the price of dry maize increased by at least 23 percent. It was during this period that the price of maize flour in Kenya hit the highest level in history  https://t.co/C4daYcLvEA 
Soko-Directory https://t.co/RUDv01UAEa",Mon Sep 04 12:35:47 +0000 2023,0,0
58,Mwango Capital,"Tanzanian farmers are petitioning their MPs to remove restrictions on cereal exports to Kenya and Uganda after a dip in the price of maize in the country:

[@The_EastAfrican] https://t.co/jR8KslLXVV",Tue Jul 04 09:00:04 +0000 2023,10,18
59,NTV Kenya,"Govt to announce floor price of maize this week as Cereals Board re-opens
https://t.co/KQHQzlaSLa https://t.co/kYJE1XpffZ",Thu Oct 05 06:23:00 +0000 2023,5,36
60,PropesaTV,"The cost of producing 90kg bag of maize is 4,000 and the government is proudly buying the same 90kg at 3500. Farmers wanaumia https://t.co/71pL8kdOuT",Sat Nov 09 18:43:55 +0000 2024,829,2155
61,EATGN,"The government of #Kenya plans to remove VAT exemption on essential goods like maize flour, cooking gas, bread, medicine, and animal feeds. 

This is after pressure from the IMF to drop blanket reliefs on consumption, a move that could raise the price of essential goods. https://t.co/yk4vNAuMud",Thu Sep 14 10:48:32 +0000 2023,1,2
62,BOMA YETU,"The price of maize flour has also reduced from Ksh. 220 as of last year to Ksh. 110 in April 2024. #ThePlan 
It Is Working https://t.co/OfizfmZgHx",Tue Apr 16 03:16:28 +0000 2024,6,8
63,I ❤️ Kenya 🇰🇪,"Essential commodities like maize and fuel have seen price drops, easing the cost of living for Kenyans.
Numbers Don’t Lie
#ResultsAreSpeaking
System Ya Facts https://t.co/OgDFRBKQgu",Mon Nov 11 06:35:41 +0000 2024,0,0
64,La General.,"Kenya has been able to attain 95million of bags of maize and other food stocks achieving food security. As a result the price of maize has dropped, reducing the cost of living.

#ResultsYouCanFeel
Ruto Deliver https://t.co/HNHDXkV6ss",Fri Jan 10 08:00:43 +0000 2025,1,0
65,CLIMATE CHANGE OWNER🌳,"Citizen themselves can lower the price of maize flour ugali stable food in Kenya rather than complaining to leaders"" challenge farmers &amp; Companies that hike prices, cultivate idle lands make use of rains' harvest maize take to posho mill put Ugali on table common sense https://t.co/mPvOEytP6v",Sat Nov 11 07:01:58 +0000 2023,0,0
66,Silk Road Kenya,"WE MUST HAVE RICH FARMERS IN KENYA.

The government should not lower the price of MAIZE FLOOR, in fact it should be sold at Ksh. 500 &amp; above.

They can eat something else if they don't want.

IPOA Pauline Njoroge Sonko Kibicho Kisii Bianca Al Shabaab https://t.co/ZMKbpDZ562",Sun Jul 23 09:38:39 +0000 2023,1,2
67,Yours Truly 🇰🇪,"Fuel price reductions lower transportation costs, which in turn reduces the cost of goods and services. Similarly, maize price reductions are critical in Kenya, where maize is a staple food. 

Numbers Dont Lie 
#ResultsAreSpeaking 
System Ya Facts https://t.co/vPBzk1tkDl",Mon Nov 11 09:18:37 +0000 2024,2,1
68,"Robert ALAI, HSC",2KG Maize Flour in Uganda is 240. In Kenya it’s 209. https://t.co/23P5G2pm2Q,Mon Jun 27 12:37:50 +0000 2022,171,950
69,Jimmy Kings,"Forget about shareholders Shenanigans

Why are those who voted for Ruto/Gachagua suffering the most??

Maize in Rift Valley is being sold at a throw away price. Tea &amp; coffee in Mount kenya region is selling at a loss

The price of production has gone up.

Asante ya punda ni.... https://t.co/1sVnNipGQH",Mon Oct 02 06:53:48 +0000 2023,4,14
70,SHA'CCARI 🌹,President Ruto’s shift from consumption to production subsidies has reduced the price of maize flour by over 50%. BETA Plan Progress is leading Kenya’s agricultural revolution. #AgricultureUnderWSR https://t.co/vL8QlkqXOJ,Mon Sep 23 06:08:16 +0000 2024,1,0
71,The Africa Report,"Surging maize prices in the Democratic Republic of Congo (#DRC), #Kenya, #Tanzania, and #SouthSudan have created a lucrative trade for people to smuggle staple food out of #Zambia. By @Chiwoyu.
https://t.co/V5V3ggNYzq",Mon May 29 12:56:31 +0000 2023,7,7
72,Pulse Kenya,"Gov't pressured to set minimum prices of maize ahead of uptake of 1 million bags.

#PulseNews  
https://t.co/1SJXEzyvSh",Fri Oct 06 04:23:56 +0000 2023,0,1
73,Mwala kapkembu,The price of Unga (Maize flour) in Kenya dropped from Ksh 260-100. This is after the Government of Kenya subsidized the price of production of the commodity for a period of 4 weeks https://t.co/QXqSEDHNSz,Thu Feb 06 08:44:24 +0000 2025,0,0
74,Citizen TV Kenya,"Price of wheat flour, cooking gas increase as maize flour becomes cheaper in November https://t.co/30NLsaShJJ",Fri Dec 01 09:48:11 +0000 2023,47,410
75,Gideon Kitheka Snr,"Promise Made, Promise Delivered. 

Within two years of taking office, President William Ruto @WilliamsRuto has made significant progress in lowering the cost of living in Kenya. #2YearScoreCard

Through strategic interventions, the price of unga (maize flour), a staple food, has https://t.co/cRelvx1rzR",Tue Sep 10 06:52:34 +0000 2024,46,56
76,Collapse Aphorisms,"“The price of everything has gone up. I just make enough to buy a 2kg packet of maize flour. We even stopped eating bread for breakfast, opting instead for mandazi [cheap fried bread made in the slum].”

(Florencio Okonyo, Kenya) 

#collapse",Wed Sep 06 22:08:05 +0000 2023,2,9
77,"William Samoei Ruto, PhD","The Government is committed to put the shame of hunger behind us by supporting agricultural production. Today, a 2KG packet of maize flour is selling at between KSh145 and Ksh175 depending on the brand, down from Ksh250 while a Gorogoro of maize is retailing at an average of https://t.co/EVaHVKpF8v",Thu Nov 09 15:13:40 +0000 2023,274,2781
78,Kibet Benard,"We are almost June at the price of 2kg Unga today at ksh100 to Ksh 130
From 230 .
People were crying of unga .
Is president William Ruto policies failing or succeeding .
Kenya again end of this year will harvest alot of maize .
So far so good.",Wed May 29 03:34:39 +0000 2024,0,1
79,Kibet Benard,"Maize, wheat, and cassava flour are now zero-rated in KENYA the price of credit ad money transfer to fall",Fri Jul 28 12:53:30 +0000 2023,0,0
